x	yield	xf	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
25.6094	5.73735e-12	26.1484	
